,Index,Name,Recoil %,Ergonomics,Accuracy,Sight,Magnification,Icon
311,,MP7 Flip Up Rearsight,,,,300,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/4/4e/MP7RearIcon.png/revision/latest/scale-to-width-down/64?cb=20181111225524
312,,Magpul MBUS Gen.2 Frontsight,,+1,,300,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/4/4e/MBUS_Front_Icon.gif/revision/latest/scale-to-width-down/64?cb=20190105175320
313,,Magpul MBUS Gen.2 Rearsight,,+1,,300,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/7/7d/MBUS_Rear_Icon.gif/revision/latest/scale-to-width-down/64?cb=20190105175221
314,,DS Arms Holland Type Rearsight for SA-58,,,,500,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/f/f5/SA58_Holand_Rear_Icon.png/revision/latest/scale-to-width-down/64?cb=20180804170123
315,,SA National Match .062 blade Frontsight M1A,,,,500,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/1/18/062bladeicon.png/revision/latest/scale-to-width-down/64?cb=20180513163745
316,,Rearsight AR-15 Carry Handle,,,,600,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/f/f2/M4handleicon.png/revision/latest/scale-to-width-down/64?cb=20180513141444
317,,Mosin frontsight,,,,500,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/a/a1/Mosin_Front_Icon.png/revision/latest/scale-to-width-down/64?cb=20180919104630
318,,Mosin Rearsight,,,,600,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/f/f7/Mosin_Rear_Icon.png/revision/latest/scale-to-width-down/64?cb=20180919104700
319,,AK-105 Standard Rearsight (6P44 Sb.1-30),,,,500,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/4/40/6p44icon.png/revision/latest/scale-to-width-down/64?cb=20180506164335
320,,AK-74M Standard Rearsight (6P20 Sb.2),,,,500,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/a/ad/6p20sb.2icon.png/revision/latest/scale-to-width-down/64?cb=20180817230219
321,,M14 Enlarged Military Aperture Rearsight,,,,500,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/6/60/M14135icon.png/revision/latest/scale-to-width-down/64?cb=20180506165721
322,,APB Rearsight,,,,200,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/1/15/Apbrearicon.png/revision/latest/scale-to-width-down/64?cb=20180506165004
323,,APS Rearsight,,,,200,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/c/ce/APS_Rearsight_icon.png/revision/latest/scale-to-width-down/64?cb=20180506165248
324,,APS Frontsight,,,,200,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/9/99/APS_Frontsight_icon.png/revision/latest/scale-to-width-down/64?cb=20180506165140
325,,SA XS Post .125 blade Frontsight M1A,,,,500,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/2/27/125bladeicon.png/revision/latest/scale-to-width-down/64?cb=20180506164637
326,,SIG MPX Flip Up Frontsight,,,,300,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/9/97/Mpxfronticon.png/revision/latest/scale-to-width-down/64?cb=20190915014450
327,,UTG Low Profile A2 Frontsight AR-15,,,,600,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/e/eb/M4fronticon.png/revision/latest/scale-to-width-down/64?cb=20180902223503
328,,Sig Sauer Standard Frontsight,,,,200,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/4/45/Ps226fronticon.png/revision/latest/scale-to-width-down/64?cb=20190915022407
329,,SIG MPX Flip Up Rearsight,,,,300,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/b/bc/Mpxrearicon.png/revision/latest/scale-to-width-down/64?cb=20190915014232
330,,Colt A2 Rearsight AR-15,,,,600,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/e/e7/M4rearicon.png/revision/latest/scale-to-width-down/64?cb=20180325173903
331,,HK MP5 Drum Rearsight,,,,200,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/a/a8/Mp5rearicon.png/revision/latest/scale-to-width-down/64?cb=20190517230439
332,,Sig Sauer P226 Standard Rearsight,,,,200,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/9/99/P226rearicon.png/revision/latest/scale-to-width-down/64?cb=20190915022238
333,,Izhmash SOK-12 rear sight,,,,100,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/e/e9/Saiga12rearicon.png/revision/latest/scale-to-width-down/64?cb=20180325173913
334,,SKS Standard Rearsight,,,,500,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/0/0a/Sksrearicon.png/revision/latest/scale-to-width-down/64?cb=20190915022312
335,,Izhmash SV-98 Rearsight,,,,500,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/5/59/Sb98rearicon.png/revision/latest/scale-to-width-down/64?cb=20180325173915
336,,AS VAL Standard rear sight,,,,420,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/9/9d/Asvalrearicon.png/revision/latest/scale-to-width-down/64?cb=20180325173856
337,,VSS Vintorez Standard Rearsight,,,,420,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/1/10/Vssrearicon.png/revision/latest/scale-to-width-down/64?cb=20180325173919
338,,Dead Ringer Snake Eye Glock front sight,,,,200,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/0/0f/Glocksefronticon.png/revision/latest/scale-to-width-down/64?cb=20180325173900
339,,Glock Front Sight,,,,200,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/c/cb/Glockfsicon.png/revision/latest/scale-to-width-down/64?cb=20180325173858
340,,Truglo TFX Glock front sight,,,,200,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/f/ff/Tfxfronticon.png/revision/latest/scale-to-width-down/64?cb=20190915022322
341,,Glock ZEV Tech Front sight,,,,200,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/3/37/Gfszticon.png/revision/latest/scale-to-width-down/64?cb=20180327220533
342,,Dead Ringer Snake Eye Glock rear sight,,,,200,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/6/6f/Glockserearicon.png/revision/latest/scale-to-width-down/64?cb=20190516144933
343,,Glock Rear Sight,,,,200,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/b/bc/Glockrsicon.png/revision/latest/scale-to-width-down/64?cb=20180325173859
344,,Truglo TFX Glock rear sight,,,,200,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/0/00/Tfxrearicon.png/revision/latest/scale-to-width-down/64?cb=20190915022332
345,,Glock ZEV Tech Rear sight,,,,200,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/3/3d/Grszticon.png/revision/latest/scale-to-width-down/64?cb=20180325173902
346,,AK-74 Standard Rearsight (6P1 Sb.2),,,,500,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/a/a1/6p1sb2.png/revision/latest/scale-to-width-down/64?cb=20180708023434
347,,AKM Standard Rearsight (6P1 Sb.2-1),,,,500,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/a/ab/6p1sb.2-1icon.png/revision/latest/scale-to-width-down/64?cb=20180708023428
348,,AKMB system rear sight,,,,500,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/4/45/Akmbicon.png/revision/latest/scale-to-width-down/64?cb=20190709161451
349,,AKMP system front sight device,,,,500,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/d/dc/Akmpfronticon.png/revision/latest/scale-to-width-down/64?cb=20180325173854
350,,AKMP system rear sight device,,,,0,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/0/0a/Akmprearicon.png/revision/latest/scale-to-width-down/64?cb=20180325173855
351,,AKM / VPO-209 Standard Rearsight,,,,300,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/5/57/Vporearicon.png/revision/latest/scale-to-width-down/64?cb=20180325175459
352,,Tactica Tula TT01 Rearsight Weaver Adapter,,-1,,500,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/d/da/Tt01icon.png/revision/latest/scale-to-width-down/64?cb=20190419002801
353,,Sight Mount Sig 220-239 rear sight bearing,,-2,,200,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/1/16/Sm220rearicon.png/revision/latest/scale-to-width-down/64?cb=20180325175455
354,,Izhmash rear sight for PP-19-01,,,,200,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/5/52/Pp19rearsight.png/revision/latest/scale-to-width-down/64?cb=20180325173911
355,,SOK-12 CSS SIGHT RAIL MOUNT rear sight,,,,100,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/f/f9/Saiga12rearrailicon.png/revision/latest/scale-to-width-down/64?cb=20180325173914
356,,M9A3 Standard Frontsight,,,,200,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/8/8c/M9A3StandardFrontSightIcon.png/revision/latest/scale-to-width-down/64?cb=20191031144134
357,,Beretta M9A3 Standard Rearsight,,,,200,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/4/42/M9A3StandardRearSightIcon.png/revision/latest/scale-to-width-down/64?cb=20191031144317
358,,Sight Mount M9 rear sight bearing,,-2,,200,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/f/fb/M9_Sightmount_bearing_Icon.png/revision/latest/scale-to-width-down/64?cb=20191226220435
359,,Rearsight ASh-12 Carry Handle,,-2,,600,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/d/de/Ash-12_Carryhandle_rail_Icon.png/revision/latest/scale-to-width-down/64?cb=20191226220421
360,,ASh-12 Folding sight Frontsight,,,,300,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/d/d9/Ash-12_Frontsight_Icon.png/revision/latest/scale-to-width-down/64?cb=20191226220414
361,,Five-seveN Standard Rear-sight,,,,200,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/6/66/Five-seveN_Standard_Rear-sight_icon.png/revision/latest/scale-to-width-down/64?cb=20191120104040
362,,Five-seveN MK2 Standard Frontsight,,,,200,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/e/e0/Five-seveN_MK2_Standard_Frontsight_icon.png/revision/latest/scale-to-width-down/64?cb=20191120104219
363,,KAC Folding micro sight Rear,,+1,,300,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/c/cf/KAC_Folding_micro_sight_Rear_icon.png/revision/latest/scale-to-width-down/64?cb=20191229165722
364,,KAC Folding micro sight Frontsight,,+1,,300,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/c/c6/KAC_Folding_micro_sight_Frontsight_icon.png/revision/latest/scale-to-width-down/64?cb=20191229174000
365,,B&T MP9 Standard Rear-sight,,,,200,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/e/ed/B%26T_MP9_Standard_Rear-sight_icon.png/revision/latest/scale-to-width-down/64?cb=20191229175612
366,,M1911A1 Front Sight,,,,200,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/b/be/1911fsicon.png/revision/latest/scale-to-width-down/64?cb=20200509002108
367,,M1911A1 Rear Sight,,,,200,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/6/6d/1911rsicon.png/revision/latest/scale-to-width-down/64?cb=20200509002146
368,,Ghost ring kit M590 Frontsight,,,,200,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/0/04/Ghost_ring_kit_M590_Frontsight_icon.png/revision/latest/scale-to-width-down/64?cb=20200728163300
369,,Ghost ring Rear sight for M590,,,,200,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/0/0a/Ghost_ring_Rear_sight_for_M590_icon.png/revision/latest/scale-to-width-down/64?cb=20200728164721
370,,Novak Lomount Rear Sight,,,,200,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/3/30/Novak_Lomount_Rear_Sight_icon.png/revision/latest/scale-to-width-down/64?cb=20201020120847
371,,Novak Lomount Front Sight,,,,200,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/6/6c/Novak_Lomount_Front_Sight_icon.png/revision/latest/scale-to-width-down/64?cb=20201020120249
372,,"Kriss ""Defiance Low Profile Flip Up"" Frontsight",,+1,,300,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/a/a3/Vector_frontsight_icon.png/revision/latest/scale-to-width-down/64?cb=20210127004452
373,,KRISS Defiance Low Profile Flip-Up rear sight,,+1,,300,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/f/f9/Vector_rearsight_icon.png/revision/latest/scale-to-width-down/64?cb=20210127004525
374,,SIG MCX Folding sight Frontsight,,+1,,300,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/1/1d/Mcx_frontsight_icon.png/revision/latest/scale-to-width-down/64?cb=20201229142332
375,,SIG MCX Flip Up sight Rearsight,,,,300,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/8/82/Mcx_rearsight_icon.png/revision/latest/scale-to-width-down/64?cb=20201225042316
376,,PL-15 Standard Rear-sight,,,,200,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/1/1f/Pl15rearsighticon.png/revision/latest/scale-to-width-down/64?cb=20210330175230
377,,PL-15 extended rear sight,,,,200,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/5/52/PL-15_extended_rear_sight_icon.png/revision/latest/scale-to-width-down/64?cb=20210331133624
378,,PL-15 Standard Frontsight,,,,200,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/c/cb/Pl15frontsight.png/revision/latest/scale-to-width-down/64?cb=20210330180529
379,,PL-15 extended front sight,,,,200,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/7/78/Pl15extfrontsighticon.png/revision/latest/scale-to-width-down/64?cb=20210330183839
