,Index,Name,Recoil %,Ergonomics,Accuracy,Muzzle Velocity,Icon
866,,540mm barrel for MP-133 12ga shotgun,-3.5,-6,,+8.1,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/a/a5/540mmIcon.png/revision/latest/scale-to-width-down/190?cb=20190203213758
867,,540mm barrel for MR-133 12ga shotgun with rib,-3.5,-5,,+8.1,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/0/07/540mmRibIcon.png/revision/latest/scale-to-width-down/190?cb=20190203213722
868,,610mm barrel for MP-133 12ga shotgun,-4,-7,,+10.8,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/b/b9/610mmmp133normal.png/revision/latest/scale-to-width-down/253?cb=20180326134809
869,,610mm barrel for MP-133 12ga shotgun with rib,-4,-6,,+10.8,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/f/f8/610mmmp133RIB.png/revision/latest/scale-to-width-down/253?cb=20180326135211
870,,660mm barrel for MR-133 12ga shotgun,-6,-12,,+13.5,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/e/ec/660mmmp133normal.png/revision/latest/scale-to-width-down/253?cb=20190916042759
871,,660mm barrel for MP-133 12ga shotgun with rib,-6,-10,,+13.5,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/f/fc/660mmmp133RIB.png/revision/latest/scale-to-width-down/253?cb=20180326135213
872,,710mm barrel for MP-133 12ga shotgun,-9,-13,,+16.2,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/a/a8/710mmmp133normal.png/revision/latest/scale-to-width-down/316?cb=20191011222227
873,,710mm barrel for MR-133 12ga shotgun with rib,-9,-12,,+16.2,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/b/b0/710mmmp133RIB.png/revision/latest/scale-to-width-down/316?cb=20180326135215
874,,750mm barrel for MP-133 12ga shotgun,-10,-19,,+18.9,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/1/12/750mmmp133normal.png/revision/latest/scale-to-width-down/316?cb=20180326134813
875,,750mm barrel for MP-133 12ga shotgun with rib,-10,-17,,+18.9,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/8/89/750mmmp133RIB.png/revision/latest/scale-to-width-down/316?cb=20180326135217
876,,610 mm barrel for MP-153 12ga shotgun,-4,-7,,+9.8,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/1/1f/610mmmp153.png/revision/latest/scale-to-width-down/253?cb=20181014215451
877,,660 mm barrel for MP-153 12ga shotgun,-6,-12,,+12.5,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/7/79/660mmmp153.png/revision/latest/scale-to-width-down/253?cb=20181014215445
878,,750 mm barrel for MP-153 12ga shotgun,-10,-20,,+17.91,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/e/e2/750mmmp153.png/revision/latest/scale-to-width-down/316?cb=20180326134151
879,,112mm barrel for P226 9x19,-5,,,-2.27,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/f/f1/P226standard.png/revision/latest/scale-to-width-down/64?cb=20180326140214
880,,660mm .308 barrel for DVL-10 M2,-5,-13,,-1,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/d/d9/660mmdvl.png/revision/latest/scale-to-width-down/253?cb=20180326132806
881,,"22"" barrel for a AR-10 and compatible 7.62x51 NATO",-9,-22,,-4.48,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/7/7a/22inchrsassicon.png/revision/latest/scale-to-width-down/316?cb=20180326132751
882,,710 mm barrel for MP-153 12ga shotgun,-9,-16,,+15.21,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/e/ef/710mmmp153.png/revision/latest/scale-to-width-down/316?cb=20180326134150
883,,Threaded barrel for Glock 9x19 manufactured by Lone Wolf.,-4,+4,,-2.28,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/d/df/Lonewolfbarrel.png/revision/latest/scale-to-width-down/64?cb=20180326140212
884,,660mm vent rib barrel for M870 12ga,-9,-12,,+5.4,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/6/60/660mmventicon.png/revision/latest/scale-to-width-down/253?cb=20180529235725
885,,508mm barrel for M870 12ga,-6,-8,,+5.4,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/0/0a/508mmm870barrelicon.png/revision/latest/scale-to-width-down/190?cb=20180826180110
886,,Basic barrel for Glock 17 9x19,-3,-5,,-2.28,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/1/17/Glockbasic.png/revision/latest/scale-to-width-down/64?cb=20180326140210
887,,Cut off 325mm barrel for M870 12ga,-1,+2,,+2.4,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/0/08/325mmm870barrelicon.png/revision/latest/scale-to-width-down/127?cb=20180506164738
888,,355mm barrel for M870 12ga,-2,-3,,+3.4,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/f/f6/355mmm870barrelicon.png/revision/latest/scale-to-width-down/127?cb=20180603133155
889,,508mm barrel for M870 12ga with a fixed sight,-6,-7,,+5.4,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/8/85/508mm_barrel_for_M870_12ga_icon.png/revision/latest/scale-to-width-down/190?cb=20190124001721
890,,Threaded barrel for Glock 9x19 manufactured by Double Diamond,-3,-5,,-2.28,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/4/49/Doublediamondbarrel.png/revision/latest/scale-to-width-down/64?cb=20180326140208
891,,Barrel with compensator for Glock 17 9x19,-5,-5,,-4.28,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/5/59/Barrelwithcompensator.png/revision/latest/scale-to-width-down/64?cb=20180326140208
892,,Threaded barrel for Glock 9x19 manufactured by Salient Arms,-8,-3,,-1.28,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/5/58/Glockbarrerlsalientarms.png/revision/latest/scale-to-width-down/64?cb=20180326140209
893,,Barrel with compensator for Glock 18C 9x19,-6,-5,,-4.28,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/f/f5/Barrel_with_compensator_for_Glock_18C_9x19_Icon.png/revision/latest/scale-to-width-down/64?cb=20180803231304
894,,Threaded barrel for M9A3 9x19,-3,-4,,-2.4,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/3/39/M9A3ThreadedBarrelIcon.png/revision/latest/scale-to-width-down/64?cb=20191031143027
895,,"10.5"" barrel for P90 5.7x28",-5,-3,,+1.2,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/7/70/10.5_barrel_for_P90_5.7x28_icon.png/revision/latest/scale-to-width-down/127?cb=20200501131441
896,,"16"" barrel for P90 5.7x28",-13,-13,,+2.2,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/6/64/16_in_P90_barrel_icon.png/revision/latest/scale-to-width-down/190?cb=20200130233919
897,,"26"" stainless steel barrel for a Remington M700 7.62x51 NATO",-9,-14,,-2.48,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/9/99/26_stainless_steel_barrel_for_a_Remington_M700_7_62x51_NATO_icon.png/revision/latest/scale-to-width-down/253?cb=20200213223047
898,,"20"" stainless steel barrel for a Remington M700 7.62x51 NATO",-4,-10,,-4.48,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/6/6a/20_stainless_steel_barrel_for_a_Remington_M700_7_62x51_NATO_icon.png/revision/latest/scale-to-width-down/190?cb=20200213223138
899,,Barrel for Five-seveN 5.7x28,-3,,,-1.28,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/3/3e/Barrel_for_Five_seveN_5.7x28_icon.png/revision/latest/scale-to-width-down/64?cb=20191120103620
900,,Threaded barrel for Five-seveN 5.7x28,-3,,,-1.28,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/a/ae/Threaded_barrel_for_Five-seveN_5_7x28_icon.png/revision/latest/scale-to-width-down/64?cb=20200213223200
901,,"18"" barrel for AR-15 and compatible 5.56x45",-5,-16,,-4.2,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/d/d6/18_barrel_for_AR-15_and_compatible_5.56x45_icon.png/revision/latest/scale-to-width-down/190?cb=20191118082512
902,,"20"" barrel for AR-15 and compatible 5.56x45",-6,-23,,-3.1,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/9/97/20_barrel_for_AR_15_and_compatible_5.56x45_Icon.png/revision/latest/scale-to-width-down/253?cb=20191227193753
903,,660mm .308 barrel for T-5000,-5,-10,,-2.6,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/0/02/660mm_.308_barrel_for_T-5000_icon.png/revision/latest/scale-to-width-down/190?cb=20191229122820
904,,"20"" barrel for SR-25 and compatible 7.62x51",-9,-21,,-4.48,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/9/98/20_Inch_SR-25_Barrel_Icon.png/revision/latest/scale-to-width-down/253?cb=20191227220314
905,,"16"" barrel for SR-25 and compatible 7.62x51",-5,-12,,-6.48,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/5/5a/16_INCH_SR-25_BARREL_ICON.png/revision/latest/scale-to-width-down/190?cb=20191227220314
906,,"23"" barrel for a VPO-215 .366TKM",-7,-8,,-4.48,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/e/e6/23_barrel_for_a_VPO-215_.366TKM_icon.png/revision/latest/scale-to-width-down/190?cb=20191228222119
907,,16 inch .308 barrel for MDR and compatible,-10,-6,,-5.58,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/a/af/16_inch_.308_barrel_for_MDR_and_compatible_icon.png/revision/latest/scale-to-width-down/190?cb=20191229145553
908,,Standart barrel for M1911A1 .45 ACP,-3,-5,,-1.28,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/7/79/1911_standard_barrel_icon.png/revision/latest/scale-to-width-down/64?cb=20200508214806
909,,"10.6"" barrel for PPSH-41 7.62x25",-3,-5,,-2,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/3/32/10.6_PPSH_Barrel_Icon.png/revision/latest/scale-to-width-down/127?cb=20200508214756
910,,"20"" barrel for M590 12ga",-6,-8,+5,-5.2,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/3/3a/20in_barrel_for_M590_12ga_icon.png/revision/latest/scale-to-width-down/190?cb=20200728161614
911,,510mm barrel for KS-23 23x75mm,-4,-4,,+1.4,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/3/32/510mm_KS23_23mm_icon.png/revision/latest/scale-to-width-down/190?cb=20201019183220
912,,700mm barrel for KS-23 23x75mm,-8,-10,,+2.4,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/5/5f/700mm_KS23_23mm_icon.png/revision/latest/scale-to-width-down/316?cb=20201019175254
913,,"18"" barrel for RFB 7.62x51",-6,-11,,-4.2,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/9/9f/18-RFB_Barrel_Icon.png/revision/latest/scale-to-width-down/190?cb=20201019211952
914,,National match barrel for M1911 .45 ACP,-3,-3,,-1.08,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/d/d2/National_Match_Barrel_M45_icon.png/revision/latest/scale-to-width-down/64?cb=20201019220237
915,,Threaded barrel for M1911A1 .45 ACP,-3,-4,,-0.78,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/2/20/Threaded_barrel_for_M1911A1_.45_ACP_icon.png/revision/latest/scale-to-width-down/64?cb=20201020121709
916,,171mm barrel for MCX and compatible .300 BLK,-1,-4,,-16.31,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/9/9f/171mm_mcx_barrel_icon.png/revision/latest/scale-to-width-down/127?cb=20201224200456
917,,229mm barrel for MCX and compatible .300 BLK,-2,-6,,-12.31,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/5/53/229mm_MCX_Icon.png/revision/latest/scale-to-width-down/127?cb=20201227221613
918,,"5"" barrel for Vector 9x19",-3,,,-2.48,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/0/02/Vector_5inbarrel_9x19_icon.png/revision/latest/scale-to-width-down/127?cb=20210109174254
919,,"6"" barrel for Vector 9x19",-4,-2,,-0.48,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/d/d9/Vector_9mm_6in_icon.png/revision/latest/scale-to-width-down/127?cb=20201227060628
920,,"5"" Vector barrel .45 ACP",-3,,,-2.78,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/7/74/Vector45_barrel_5inch_icon.png/revision/latest/scale-to-width-down/127?cb=20210107163929
921,,"6"" Vector barrel .45 ACP",-4,-2,,-0.78,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/f/fe/.45_ACP_Vector6inch_icon.png/revision/latest/scale-to-width-down/127?cb=20201227222129
922,,"8"" barrel for UMP .45 ACP",-3,-6,,-15.31,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/a/a4/8inch_UMPbarrel_icon.png/revision/latest/scale-to-width-down/127?cb=20210107171831
923,,"24"" barrel for Mk-18 .338 LM",-6,-12,,-2.1,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/d/d6/24_barrel_for_Mk-18_icon.png/revision/latest/scale-to-width-down/252?cb=20210127172322
924,,Regular barrel for PL-15 9x19,-3,-5,,-2.28,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/e/e0/RegularbarrelPL-15.png/revision/latest/scale-to-width-down/64?cb=20210330173047
925,,Threaded barrel for PL-15,-3,-4,,-2.28,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/f/fa/ThreadedbarrelPL-15.png/revision/latest/scale-to-width-down/64?cb=20210330172524
926,,"10.5"" barrel for STM-9 9x19",-4,-10,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/5/5a/10.5_STM-9_Barrel_Icon.png/revision/latest/scale-to-width-down/127?cb=20210330191244
927,,"12"" barrel for STM-9 9x19",-5,-12,,+1.5,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/c/ca/12_barrel_for_STM-9_9x19_icon.png/revision/latest/scale-to-width-down/127?cb=20210331131813
928,,"14"" barrel for STM-9 9x19",-8,-15,,+3.2,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/7/79/14_barrel_for_STM-9_9x19_icon.png/revision/latest/scale-to-width-down/192?cb=20210331132210
929,,"16"" barrel for STM-9 9x19",-10,-19,,+4.48,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/2/2c/16_barrel_for_STM-9_9x19_icon.png/revision/latest/scale-to-width-down/192?cb=20210331132408
