,Index,Name,Recoil %,Ergonomics,Accuracy,Muzzle Velocity,Icon
86,,Thread protector for Alpha Wolf Glock barrels,,+1,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/f/f5/Wolfthreadicon.png/revision/latest/scale-to-width-down/64?cb=20180604191926
87,,Glock thread protector produced by Double Diamond,,+1,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/e/e9/Glockddthreadproticon.png/revision/latest/scale-to-width-down/64?cb=20180522003409
88,,Glock thread protector produced by Salient Arms,,+1,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/e/e3/Glockthread.png/revision/latest/scale-to-width-down/64?cb=20180909204025
89,,M9A3 thread protection cap,,+1,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/7/7b/M9A3ThreadCapIcon.png/revision/latest/scale-to-width-down/64?cb=20191031143631
90,,Weapon Tuning Mosin rifle tread adapter,,,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/7/74/Weapon_Tuning_Mosin_Icon.png/revision/latest/scale-to-width-down/64?cb=20191226191216
91,,Weapon Tuning SKS tread adapter,,,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/a/a1/Weapon_Tuning_SKS_Icon.png/revision/latest/scale-to-width-down/64?cb=20191226191219
92,,Direct Thread adapter for the Lantac Blast mitigation device.,-1,-1,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/9/9c/Lantac_BMD_Adapter_Icon.png/revision/latest/scale-to-width-down/64?cb=20191226191223
93,,Custom Mosin rifle thread adapter,,,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/9/9d/Custom_Mosin_Thread_Icon.png/revision/latest/scale-to-width-down/64?cb=20191226191226
94,,Tiger Rock Mosin rifle tread adapter,-1,,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/2/2a/Tiger_Rock_Icon.png/revision/latest/scale-to-width-down/64?cb=20191226191229
95,,M700 thread protection cap,,+1,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/0/0d/M700_thread_PT_CAP_Icon.gif/revision/latest/scale-to-width-down/64?cb=20200407180036
96,,Rotor 43 thread adapter for SVD-S,,-1,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/7/76/Rotor_43_thread_adapter_for_SVD-S_icon.png/revision/latest/scale-to-width-down/64?cb=20191230170929
97,,VPO-215 thread protection cap,,+1,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/d/d3/VPO-215_thread_protection_cap_icon.png/revision/latest/scale-to-width-down/64?cb=20191230172530
98,,B&T adapter for MP9 regular suppressor.,,-1,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/1/1e/B%26T_adapter_for_MP9_regular_supressor_icon.png/revision/latest/scale-to-width-down/64?cb=20191230174046
99,,CNC Warrior AK 5.56x45 mm muzzle device adapter,,,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/d/d1/CNC_Warrior_Icon.png/revision/latest/scale-to-width-down/64?cb=20200316180209
100,,RFB Thread spacer,,,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/7/75/RFB_Thread_Spacer_Icon.png/revision/latest/scale-to-width-down/64?cb=20201019205303
101,,RFB thread protection cap,,+1,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/2/2f/RFB_Protecc_Icon.png/revision/latest/scale-to-width-down/64?cb=20201019214027
102,,SIG Taper-LOK Muzzle Adapter,,,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/b/bd/Tlok_icon.png/revision/latest/scale-to-width-down/64?cb=20210109173854
103,,Direct Thread Mount adapter for Silencerco Omega 45k,,,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/6/63/Omega_thread_icon.png/revision/latest/scale-to-width-down/64?cb=20201224200504
104,,Piston Mount adapter for Silencerco Omega 45k,,,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/4/46/Piston_mount_adapter_Icon.png/revision/latest/scale-to-width-down/64?cb=20210130232859
105,,Vector 9x19 thread protection cap,,,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/b/b8/Vector_cap9x19_icon.png/revision/latest/scale-to-width-down/64?cb=20210107173145
106,,Kriss Vector .45 ACP thread protection cap,,,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/d/d2/Vector45_cap_fir_icon.png/revision/latest/scale-to-width-down/64?cb=20210107165516
