,Name,Recoil %,Ergonomics,Accuracy,Muzzle Velocity,sight,Mag,Icon
22,,RTM Pillau Tactical grip,-1,+5,0,0,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/2/28/Pillau_Icon.png/revision/latest/scale-to-width-down/64?cb=20191226185443
23,,B&T MP9-N Vertical grip,,+6,0,0,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/c/c5/B%26T_MP9_Vertical_grip_icon.png/revision/latest/scale-to-width-down/64?cb=20191229121225
24,,T-5000 Pad,-1,+6,0,0,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/7/70/T-5000_Pad_icon.png/revision/latest/scale-to-width-down/64?cb=20191229122158
25,,TD Aluminium skeletonized vertical grip,-2,+6,0,0,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/0/08/TD_Alum_PG_Icon.png/revision/latest/scale-to-width-down/64?cb=20201019205917
26,,MVF001 A3 Vertical Grip KeyMod black,,+10,0,0,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/c/cd/A3_handguard_icon.png/revision/latest/scale-to-width-down/64?cb=20201224200500
27,,Sig Sauer Vertical Foregrip Keymod Black,-2,+5,0,0,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/7/77/Sig_grip_icon.png/revision/latest/scale-to-width-down/64?cb=20210503055140
28,Icon,Name,Recoil %,Ergonomics,Accuracy %,0,0,None
29,,Armytek Predator Pro v3 XHP35 HI Flashlight,,-2,,0,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/3/37/Predator_icon.png/revision/latest/scale-to-width-down/64?cb=20180318154431
30,,Ultrafire WF-501B Flashlight,,-2,,0,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/c/c8/WF501BIcon.png/revision/latest/scale-to-width-down/64?cb=20180318154357
31,Icon,Name,Recoil %,Ergonomics,Accuracy %,0,0,None
32,,Zenit Perst-3 tactical device,,-2,,0,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/6/62/ZenitPerst3Icon.png/revision/latest/scale-to-width-down/64?cb=20190415134103
33,,Zenit 2IRS Klesch flashlight + laser designator,,-1,,0,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/1/19/2irs.png/revision/latest/scale-to-width-down/64?cb=20180318172955
34,,Zenit 2P Klesch flashlight + laser designator,,-1,,0,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/4/40/Klesch.png/revision/latest/scale-to-width-down/64?cb=20190517213322
35,,Zenit 2U Klesch tactical flashlight,,-2,,0,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/5/5d/Kleh_Icon.png/revision/latest/scale-to-width-down/64?cb=20190517220353
36,,AN/PEQ-15 tactical device,,-1,,0,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/c/ce/Peq.png/revision/latest/scale-to-width-down/64?cb=20190517220610
37,,Glock Tactical GL21 flashlight with laser,,-1,,0,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/a/a5/Gl21.png/revision/latest/scale-to-width-down/64?cb=20180318172955
38,,Holosun LS321 Tactical device,,-2,,0,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/4/42/Ls321.png/revision/latest/scale-to-width-down/64?cb=20190517220520
39,,LA-5 tactical device,,-2,,0,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/d/d8/LA-5_tactical_device_Icon.png/revision/latest/scale-to-width-down/64?cb=20190106120727
40,,LAS/TAC 2 tactical flashlight,,-1,,0,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/8/88/LASTAC_2_Icon.png/revision/latest/scale-to-width-down/64?cb=20180721230408
41,,Surefire XC1 tactical flashlight,,-1,,0,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/d/dc/Xc1.png/revision/latest/scale-to-width-down/64?cb=20191102045006
42,,X400 tactical flashlight,,-1,,0,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/0/06/X400.png/revision/latest/scale-to-width-down/64?cb=20190517221025
43,,NcSTAR Tactical blue laser LAM-Module,,-1,,0,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/a/a7/TBL_Icon.PNG/revision/latest/scale-to-width-down/64?cb=20191102044649
44,,AN/PEQ-2 tactical device,,-2,,0,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/c/c7/ANPEQ2_Icon.png/revision/latest/scale-to-width-down/64?cb=20191214061727
45,,Steiner Dbal PL tactical flashlight,,-1,,0,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/3/3b/Steiner_Dbal_PL_tactical_flashlight.PNG/revision/latest/scale-to-width-down/64?cb=20191127012832
46,,"DLP ""Tactical Precision"" LAM Module for TT Pistol",,-1,,0,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/1/12/DLP_Tactical_Precision_LAM_Module_icon.png/revision/latest/scale-to-width-down/64?cb=20181228213103
47,Icon,Name,Recoil %,Ergonomics,Accuracy %,0,0,None
48,,AGR-870 protection cap,,+2,,0,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/4/42/AGR870Capicon.png/revision/latest/scale-to-width-down/64?cb=20190101215124
49,,NSPU-M scope eyecup,,+6,,0,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/4/40/NSPUMcupicon.png/revision/latest/scale-to-width-down/64?cb=20181112000142
50,,Vulcan MG scope eyecup,,+6,,0,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/c/c0/Vulcan_Eyecup_Icon.png/revision/latest/scale-to-width-down/64?cb=20180805174114
51,,Cobra Family Sights Shade,,+3,,0,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/a/a2/Cobracupicon.png/revision/latest/scale-to-width-down/64?cb=20180318183735
52,,PSO scope eyecup,,+5,,0,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/7/72/Psocupicon.png/revision/latest/scale-to-width-down/64?cb=20190709161431
53,,REAP-IR scope eyecup,,+6,,0,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/1/1c/Reapcupicon.png/revision/latest/scale-to-width-down/64?cb=20180626224309
54,,SV-98 anti-heat ribbon,,+2,,0,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/5/52/Heatribbonicon.png/revision/latest/scale-to-width-down/64?cb=20180318183739
55,,Heat shield for SV-98 silencer,,+2,,0,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/7/71/SV-98_HS_Icon.png/revision/latest/scale-to-width-down/64?cb=20190414153312
56,,Zev Tech sight mount cap,,+2,,0,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/c/ca/Glockplateicon.png/revision/latest/scale-to-width-down/64?cb=20180318183737
57,,USP-1 scope eyecup,,+5,,0,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/2/2d/USP-1_eyecup_Icon.png/revision/latest/scale-to-width-down/64?cb=20191226185941
58,,1P59 scope eyecup,,+5,,0,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/7/75/1P59_Eyecup_Icon.png/revision/latest/scale-to-width-down/64?cb=20191226185504
59,,KAC short panel for URX 3/3.1,,+2,,0,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/f/f9/KAC_URX_Short_Icon.gif/revision/latest/scale-to-width-down/64?cb=20191213011153
60,,KAC long panel for URX 3/3.1,,+3,,0,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/9/9c/KAC_URX_Long_Icon.gif/revision/latest/scale-to-width-down/64?cb=20191213011142
61,,KAC stopper panel for URX 3/3.1,-1,+4,,0,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/8/81/KAC_URX_Stopper_Icon.gif/revision/latest/scale-to-width-down/64?cb=20200407175923
62,,Slide lock for M1911A1,,+1,,0,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/7/77/1911_catch_lever_icon.png/revision/latest/scale-to-width-down/64?cb=20200508214800
63,,Hammer for M1911A1,,,,0,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/7/7b/1911_hammer_icon.png/revision/latest/scale-to-width-down/64?cb=20200508214802
64,,Trigger for M1911A1,,+1,,0,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/d/d5/1911_trigger_icon.png/revision/latest/scale-to-width-down/64?cb=20200508214807
65,,Wilson Extended slide stop for M1911A1,,+3,,0,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/5/59/Wilson_Extended_slide_stop_for_M1911A1_icon.png/revision/latest/scale-to-width-down/64?cb=20200729100319
66,,Hammer for M1911A1 (alternative),,+2,,0,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/0/0c/Hammer_for_M1911A1_%28alternative%29_icon.png/revision/latest/scale-to-width-down/64?cb=20200729103252
67,,STI HEX Hammer for M1911A1,,+3,,0,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/5/56/STI_HEX_Hammer_for_M1911A1_icon.png/revision/latest/scale-to-width-down/64?cb=20200729101612
68,,Wilson Ultralight skeletonized hammer for M1911A1,,+4,,0,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/e/e4/Wilson_Ultralight_skeletonized_hammer_for_M1911A1_icon.png/revision/latest/scale-to-width-down/64?cb=20200729104349
69,,Caspian Trik Trigger for M1911A1,,+3,,0,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/d/d9/Caspian_Trik_Trigger_for_M1911A1_icon.png/revision/latest/scale-to-width-down/64?cb=20200729105605
70,,Trigger for M45A1,,+2,,0,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/3/34/M45A1_Trigger_Icon.png/revision/latest/scale-to-width-down/64?cb=20201019220225
71,,Hammer for M45A1,,+2,,0,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/b/b2/M45A1_Hammer_Icon.png/revision/latest/scale-to-width-down/64?cb=20201019220227
72,,Slide lock for M45A1,,+2,,0,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/6/6f/M45A1_Slide_Lock_Icon.png/revision/latest/scale-to-width-down/64?cb=20201019220224
73,,Magwell STM-9,,+5,,0,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/c/c6/STM-9_Magwell_Icon.png/revision/latest/scale-to-width-down/64?cb=20210330191236
74,Icon,Name,Recoil %,Ergonomics,Accuracy %,Muzzle Velocity,0,None
75,,Taktika Tula AK and AKM adapter,,,,,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/f/ff/Ttakm.png/revision/latest/scale-to-width-down/64?cb=20180828160747
76,,Direct Thread Mount adapter for Gemtech ONE.,,,,,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/9/9e/ONE_Mount_Icon.png/revision/latest/scale-to-width-down/64?cb=20190414145640
77,,ME Cylinder muzzle adapter 12 ga,,-1,,+0.25,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/8/8e/Mecylindermuzzleadapter12gicon.png/revision/latest/scale-to-width-down/64?cb=20190106154142
78,,3 Lug threaded protector,,-1,,,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/5/50/3LugThreadedProtectoricon.png/revision/latest/scale-to-width-down/64?cb=20190105181817
79,,SilencerCo choke adapter for 12ga shotguns,-1,,+1,+0.25,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/7/7a/SilencerCo_choke_adapter_for_12ga_shotguns_Icon.png/revision/latest/scale-to-width-down/64?cb=20200607090613
80,,SilencerCo Salvo 12 thread adapter,-1,,+1,+0.25,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/7/79/SilencerCo_Salvo_12_thread_adapter_Icon.png/revision/latest/scale-to-width-down/64?cb=20180805230910
81,,Direct Thread Mount adapter for Silencerco Hybrid 46.,,,,,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/1/17/Hybridmount.png/revision/latest/scale-to-width-down/64?cb=20180325142252
82,,3 Lug thread protector,,+1,,,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/5/5c/3lug.png/revision/latest/scale-to-width-down/64?cb=20180325142246
83,,P226 thread protection cap,,+1,,,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/8/80/P226threadicon.png/revision/latest/scale-to-width-down/64?cb=20180608204639
84,,PP-91-01 Kedr-B muzzle thread piece,-10,,,+0.5,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/5/58/Pp19thread.png/revision/latest/scale-to-width-down/64?cb=20180325142254
85,,SOK-12 Protection tube,,+6,,,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/a/a0/Saigathread.png/revision/latest/scale-to-width-down/64?cb=20180325142300
86,,Thread protector for Alpha Wolf Glock barrels,,+1,,,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/f/f5/Wolfthreadicon.png/revision/latest/scale-to-width-down/64?cb=20180604191926
87,,Glock thread protector produced by Double Diamond,,+1,,,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/e/e9/Glockddthreadproticon.png/revision/latest/scale-to-width-down/64?cb=20180522003409
88,,Glock thread protector produced by Salient Arms,,+1,,,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/e/e3/Glockthread.png/revision/latest/scale-to-width-down/64?cb=20180909204025
89,,M9A3 thread protection cap,,+1,,,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/7/7b/M9A3ThreadCapIcon.png/revision/latest/scale-to-width-down/64?cb=20191031143631
90,,Weapon Tuning Mosin rifle tread adapter,,,,,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/7/74/Weapon_Tuning_Mosin_Icon.png/revision/latest/scale-to-width-down/64?cb=20191226191216
91,,Weapon Tuning SKS tread adapter,,,,,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/a/a1/Weapon_Tuning_SKS_Icon.png/revision/latest/scale-to-width-down/64?cb=20191226191219
92,,Direct Thread adapter for the Lantac Blast mitigation device.,-1,-1,,,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/9/9c/Lantac_BMD_Adapter_Icon.png/revision/latest/scale-to-width-down/64?cb=20191226191223
93,,Custom Mosin rifle thread adapter,,,,,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/9/9d/Custom_Mosin_Thread_Icon.png/revision/latest/scale-to-width-down/64?cb=20191226191226
94,,Tiger Rock Mosin rifle tread adapter,-1,,,,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/2/2a/Tiger_Rock_Icon.png/revision/latest/scale-to-width-down/64?cb=20191226191229
95,,M700 thread protection cap,,+1,,,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/0/0d/M700_thread_PT_CAP_Icon.gif/revision/latest/scale-to-width-down/64?cb=20200407180036
96,,Rotor 43 thread adapter for SVD-S,,-1,,,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/7/76/Rotor_43_thread_adapter_for_SVD-S_icon.png/revision/latest/scale-to-width-down/64?cb=20191230170929
97,,VPO-215 thread protection cap,,+1,,,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/d/d3/VPO-215_thread_protection_cap_icon.png/revision/latest/scale-to-width-down/64?cb=20191230172530
98,,B&T adapter for MP9 regular suppressor.,,-1,,,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/1/1e/B%26T_adapter_for_MP9_regular_supressor_icon.png/revision/latest/scale-to-width-down/64?cb=20191230174046
99,,CNC Warrior AK 5.56x45 mm muzzle device adapter,,,,,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/d/d1/CNC_Warrior_Icon.png/revision/latest/scale-to-width-down/64?cb=20200316180209
100,,RFB Thread spacer,,,,,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/7/75/RFB_Thread_Spacer_Icon.png/revision/latest/scale-to-width-down/64?cb=20201019205303
101,,RFB thread protection cap,,+1,,,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/2/2f/RFB_Protecc_Icon.png/revision/latest/scale-to-width-down/64?cb=20201019214027
102,,SIG Taper-LOK Muzzle Adapter,,,,,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/b/bd/Tlok_icon.png/revision/latest/scale-to-width-down/64?cb=20210109173854
103,,Direct Thread Mount adapter for Silencerco Omega 45k,,,,,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/6/63/Omega_thread_icon.png/revision/latest/scale-to-width-down/64?cb=20201224200504
104,,Piston Mount adapter for Silencerco Omega 45k,,,,,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/4/46/Piston_mount_adapter_Icon.png/revision/latest/scale-to-width-down/64?cb=20210130232859
105,,Vector 9x19 thread protection cap,,,,,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/b/b8/Vector_cap9x19_icon.png/revision/latest/scale-to-width-down/64?cb=20210107173145
106,,Kriss Vector .45 ACP thread protection cap,,,,,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/d/d2/Vector45_cap_fir_icon.png/revision/latest/scale-to-width-down/64?cb=20210107165516
107,Icon,Name,Recoil %,Ergonomics,Accuracy %,Muzzle Velocity,0,None
108,,Izhmash 7.62x39 AKM muzzle brake & compensator (6P1 0-14),-7,,,,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/b/ba/6p1.png/revision/latest/scale-to-width-down/64?cb=20180729200314
109,,Molot 7.62x39 Vepr KM / VPO-136 muzzle brake & compensator,-6,,,,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/2/2a/Vpo136muz.png/revision/latest/scale-to-width-down/64?cb=20180828161023
110,,Thread protection for AKM/VPO-209,,+1,,,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/4/4c/Vpo209muzz.png/revision/latest/scale-to-width-down/64?cb=20180319232328
111,,KAC QD Compensator 5.56x45,-8,-1,+3,+0.5,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/1/1e/Kac.png/revision/latest/scale-to-width-down/64?cb=20180319232317
112,,Izhmash 7.62x39 flash hider for AKML system,-5,-2,,+1.5,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/b/bd/Akml.png/revision/latest/scale-to-width-down/64?cb=20180319232304
113,,AAC Blackout 51T flash hider (7.62x51),-7,-1,+3,+0.5,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/8/8e/Blackout.png/revision/latest/scale-to-width-down/64?cb=20190706232524
114,,Carver Custom 4 Port 9x19 muzzle brake,-12,-1,+2,+0.5,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/0/06/4port.png/revision/latest/scale-to-width-down/64?cb=20180319232259
115,,Decelerator 3 Port 9x19 Compensator,-11,-1,+2,+0.5,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/8/89/G3port.png/revision/latest/scale-to-width-down/64?cb=20180319232312
116,,Double Diamond flash hider,-9,-1,+1,+0.5,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/2/2f/Glockdd.png/revision/latest/scale-to-width-down/64?cb=20180319232316
117,,Alpha Wolf Bullnose 9x19 Compensator,-7,-1,-1,+0.5,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/d/d8/Gaw.png/revision/latest/scale-to-width-down/64?cb=20180319232315
118,,Lone Wolf Compensator 9 9x19,-12,-1,-3,+0.5,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/3/32/Lw9.png/revision/latest/scale-to-width-down/64?cb=20180319232322
119,,Strike Industries G4 slide compensator 9x19,-14,-1,+3,+0.5,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/3/30/G4.png/revision/latest/scale-to-width-down/64?cb=20180319232313
120,,Lantac Dragon 7.62x39 muzzle brake & compensator for AK,-18,-2,,+0.4,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/c/cf/LantacDrakonIcon.png/revision/latest/scale-to-width-down/64?cb=20190415133928
121,,SAI Jail Break 5.56x45 for AR-15,-8,-2,+3,+1,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/8/85/SAIJailBreakIcon.png/revision/latest/scale-to-width-down/64?cb=20190415133948
122,,AAC Blackout 51T 5.56x45 flash-hider,-8,-1,+3,+1,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/4/4f/Blackout_5_Icon.png/revision/latest/scale-to-width-down/64?cb=20190414143646
123,,Thread adapter 7.62x54 for SV-98,,-2,,,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/d/d8/SV-98_Thread_Icon.png/revision/latest/scale-to-width-down/64?cb=20190414153433
124,,Surefire WarComp 5.56x45 Flash hider for AR-15,-7,-1,+2,+0.5,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/9/9d/WarCompIcon.png/revision/latest/scale-to-width-down/64?cb=20190411110720
125,,Lantac Dragon 7.62x51 muzzle brake,-15,-2,,-1,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/5/5d/DGN762_Icon.png/revision/latest/scale-to-width-down/64?cb=20190414142537
126,,Izhmash 7.62x54 SVDS muzzlebrake & compensator,-7,-1,,+0.5,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/a/ab/Izhmash_7.62x54_SVDS_muzzlebrake_%26_compensator_icon.png/revision/latest/scale-to-width-down/64?cb=20190410225632
127,,"SRVV ""Mk.2.0"" compensator 7.62x54 for SV-98",-19,-2,+6,+0.5,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/9/9b/Muzzle_break_SRVV_for_SV-98_icon.png/revision/latest/scale-to-width-down/64?cb=20190414000907
128,,Venom Antidote muzzle brake & compensator for AK,-17,-2,+2,+1,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/f/f9/Antidote_Icon.png/revision/latest/scale-to-width-down/64?cb=20190414150947
129,,Surefire SF3P 5.56x45 Flash hider for AR-15,-8,-1,+3,+0.5,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/9/95/SF3P_Icon.png/revision/latest/scale-to-width-down/64?cb=20190414143206
130,,TJ Custom 9x19 Compensator,-12,-1,-2,+0.5,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/4/48/TJ_Icon.png/revision/latest/scale-to-width-down/64?cb=20190414151639
131,,Desert Tech 5.56x45 Flash hider,-8,-2,+1,+0.5,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/d/dd/Muzzle_brake_Desert_Tech_5.56x45_icon.png/revision/latest/scale-to-width-down/64?cb=20190411083941
132,,HK Noveske style muzzle brake & compensator for MP-5,-15,-3,,+0.5,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/a/af/HKNoveskeMP5icon.png/revision/latest/scale-to-width-down/64?cb=20190104000816
